Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-01-04,2.24705,2.25341,2.22913,2.23573
2016-01-05,2.23567,2.23703,2.21729,2.2222
2016-01-06,2.2225,2.22632,2.21079,2.21749
2016-01-07,2.2176,2.23798,2.21434,2.23205
2016-01-08,2.23192,2.23408,2.2145,2.21907
2016-01-11,2.22081,2.23291,2.21202,2.2295
2016-01-12,2.22988,2.23366,2.19778,2.2092
2016-01-13,2.20947,2.21655,2.19441,2.20298
2016-01-14,2.20325,2.21246,2.16272,2.16272
2016-01-15,2.16261,2.18967,2.14858,2.15292
2016-01-18,2.14996,2.17593,2.14921,2.17216
2016-01-19,2.17212,2.17352,2.15444,2.16291
2016-01-20,2.16315,2.17397,2.14663,2.15153
2016-01-21,2.15154,2.1656,2.12409,2.12509
2016-01-22,2.12523,2.14111,2.11476,2.1158
2016-01-25,2.11327,2.12883,2.10977,2.12039
2016-01-26,2.1203,2.12623,2.10374,2.12472
2016-01-27,2.1247,2.12616,2.10011,2.10621
2016-01-28,2.10623,2.12524,2.10421,2.1126
2016-01-29,2.11245,2.14038,2.10383,2.12649
2016-02-01,2.12387,2.15749,2.12087,2.14936
2016-02-02,2.1512,2.175,2.1499,2.15376
2016-02-03,2.15448,2.16736,2.14388,2.14825
2016-02-04,2.14972,2.16296,2.14126,2.1517
2016-02-05,2.15158,2.17913,2.14875,2.17011
2016-02-08,2.16069,2.16973,2.15315,2.15999
2016-02-09,2.15992,2.18473,2.14786,2.17955
2016-02-10,2.17921,2.18541,2.1578,2.18175
2016-02-11,2.1818,2.20104,2.17273,2.18933
2016-02-12,2.1895,2.19947,2.18236,2.19492
2016-02-15,2.19694,2.19756,2.18599,2.18706
2016-02-16,2.18705,2.18864,2.17138,2.18225
2016-02-17,2.18228,2.19152,2.15784,2.16182
2016-02-18,2.16169,2.17699,2.16018,2.17135
2016-02-19,2.1714,2.18283,2.16713,2.17862
2016-02-22,2.1778,2.18101,2.16667,2.1764
2016-02-23,2.1764,2.17921,2.15937,2.16248
2016-02-24,2.1625,2.20167,2.15648,2.17936
2016-02-25,2.1798,2.19173,2.1763,2.18251
2016-02-26,2.18321,2.18721,2.1669,2.17111
2016-02-29,2.17273,2.18454,2.16737,2.1735
2016-03-01,2.17378,2.17615,2.16209,2.16944
2016-03-02,2.16932,2.18207,2.16643,2.17672
2016-03-03,2.17672,2.18107,2.16081,2.16658
2016-03-04,2.16627,2.17538,2.15578,2.15974
2016-03-07,2.15633,2.16604,2.15224,2.15936
2016-03-08,2.15949,2.18777,2.15808,2.17967
2016-03-09,2.17945,2.18125,2.16585,2.16997
2016-03-10,2.17044,2.20473,2.16329,2.19446
2016-03-11,2.19473,2.19783,2.1767,2.18657
2016-03-14,2.1884,2.2047,2.18265,2.19782
2016-03-15,2.19782,2.22238,2.1966,2.21324
2016-03-16,2.21313,2.21789,2.20306,2.20981
2016-03-17,2.21003,2.21617,2.18619,2.20068
2016-03-18,2.20049,2.21956,2.19523,2.21543
2016-03-21,2.21368,2.22358,2.20909,2.21767
2016-03-22,2.21781,2.22258,2.20917,2.21329
2016-03-23,2.21327,2.22967,2.21066,2.22287
2016-03-24,2.22293,2.23027,2.21247,2.2185
2016-03-28,2.22041,2.22707,2.21368,2.21828
2016-03-29,2.21811,2.23316,2.21778,2.22943
2016-03-30,2.22935,2.23123,2.19795,2.20301
2016-03-31,2.20323,2.22694,2.19652,2.2166
2016-04-01,2.2166,2.233,2.21464,2.22456
2016-04-04,2.22939,2.24013,2.22203,2.23708
2016-04-05,2.23655,2.23827,2.21976,2.22369
2016-04-06,2.22358,2.22543,2.2142,2.21924
2016-04-07,2.21924,2.22255,2.19568,2.20277
2016-04-08,2.20332,2.20519,2.17781,2.18306
2016-04-11,2.18235,2.19702,2.18003,2.18622
2016-04-12,2.186,2.18908,2.165,2.17049
2016-04-13,2.17159,2.1777,2.15893,2.16401
2016-04-14,2.16384,2.17112,2.14827,2.15729
2016-04-15,2.15723,2.16974,2.15172,2.16548
2016-04-18,2.18305,2.18832,2.15244,2.1569
2016-04-19,2.15654,2.15771,2.14068,2.14635
2016-04-20,2.1468,2.15448,2.14006,2.14404
2016-04-21,2.14428,2.14826,2.13229,2.14086
2016-04-22,2.14077,2.1448,2.11256,2.11659
2016-04-25,2.11816,2.12289,2.08274,2.09432
2016-04-26,2.09413,2.10871,2.09362,2.10483
2016-04-27,2.10514,2.11205,2.08873,2.1047
2016-04-28,2.10439,2.11066,2.09365,2.10077
2016-04-29,2.10077,2.11152,2.08849,2.10648
2016-05-02,2.10756,2.11719,2.10159,2.10903
2016-05-03,2.10902,2.12717,2.1051,2.12441
2016-05-04,2.12375,2.13265,2.11542,2.12955
2016-05-05,2.12897,2.13008,2.09691,2.11472
2016-05-06,2.11486,2.12187,2.10469,2.1087
2016-05-09,2.10752,2.11807,2.10501,2.10991
2016-05-10,2.10976,2.12301,2.10737,2.11242
2016-05-11,2.11228,2.11811,2.10133,2.1043
2016-05-12,2.10469,2.10593,2.08508,2.09331
2016-05-13,2.0935,2.11299,2.09216,2.09913
2016-05-16,2.11242,2.12056,2.10682,2.11351
2016-05-17,2.11349,2.12301,2.10581,2.11733
2016-05-18,2.11728,2.12039,2.1047,2.11913
2016-05-19,2.11909,2.13486,2.11669,2.12124
2016-05-20,2.12141,2.1222,2.10842,2.11302
2016-05-23,2.11305,2.11752,2.10271,2.10754
2016-05-24,2.10728,2.11299,2.09487,2.10133
2016-05-25,2.10121,2.11619,2.09441,2.10508
2016-05-26,2.10515,2.1089,2.09132,2.09841
2016-05-27,2.09843,2.11527,2.09838,2.11043
2016-05-30,2.11029,2.11991,2.10856,2.11389
2016-05-31,2.11336,2.13018,2.11144,2.12412
2016-06-01,2.12425,2.12457,2.10945,2.11818
2016-06-02,2.11772,2.1313,2.11095,2.11812
2016-06-03,2.11812,2.12823,2.10863,2.11633
2016-06-06,2.11802,2.13722,2.11028,2.12896
2016-06-07,2.12901,2.13069,2.11491,2.11666
2016-06-08,2.11668,2.14059,2.11463,2.13568
2016-06-09,2.13585,2.14104,2.12377,2.12566
2016-06-10,2.12572,2.13536,2.12086,2.12514
2016-06-13,2.12511,2.1294,2.11198,2.1141
2016-06-14,2.1141,2.11997,2.10565,2.11244
2016-06-15,2.11246,2.12116,2.10761,2.11272
2016-06-16,2.11281,2.14273,2.10687,2.12658
2016-06-17,2.12674,2.13729,2.11539,2.131
2016-06-20,2.12486,2.14302,2.12412,2.13312
2016-06-21,2.13312,2.13981,2.1187,2.12407
2016-06-22,2.12424,2.14425,2.12007,2.13797
2016-06-23,2.13848,2.14434,2.12024,2.13401
2016-06-24,2.1338,2.14292,2.09501,2.11829
2016-06-27,2.11733,2.14177,2.09814,2.11451
2016-06-28,2.11468,2.12759,2.11039,2.11825
2016-06-29,2.11852,2.12581,2.1006,2.1081
2016-06-30,2.108,2.12689,2.09362,2.12155
2016-07-01,2.12124,2.12444,2.0992,2.10149
2016-07-04,2.10264,2.11002,2.08162,2.08305
2016-07-05,2.08282,2.09838,2.07826,2.09594
2016-07-06,2.0962,2.11637,2.09421,2.10553
2016-07-07,2.10593,2.12554,2.1031,2.12435
2016-07-08,2.12386,2.13967,2.11942,2.13501
2016-07-11,2.13169,2.13552,2.1158,2.12448
2016-07-12,2.12418,2.1242,2.10985,2.12177
2016-07-13,2.12186,2.12505,2.10988,2.11952
2016-07-14,2.11958,2.1249,2.10332,2.10817
2016-07-15,2.10809,2.12133,2.1067,2.12133
2016-07-18,2.11486,2.14131,2.11303,2.13997
